Evoked Response
seconds	EEG	Trigger
0	-2.00887363443278E-8	-6.08749586191752E-10
0.002	-2.86516613627562E-7	-7.75997376721136E-9
0.004	-2.00717396061643E-6	-4.66124720391625E-8
0.006	-9.27564260607239E-6	-1.75047957144491E-7
0.008	-3.20471187465968E-5	-4.57616762366901E-7
0.01	-8.89063790935312E-5	-8.67884211524927E-7
0.012	-0.000207492467949388	-1.16952754379176E-6
0.014	-0.000420789700665213	-9.04791177182104E-7
0.016	-0.000758869572183954	4.31708234865307E-7
0.018	-0.00123739518687144	3.10693698781591E-6
0.02	-0.00184591183548398	6.90650170829321E-6
0.022	-0.00254054284563779	1.10311398794014E-5
0.024	-0.00324642687355112	1.41400069434024E-5
0.026	-0.00387327558290185	1.45373171086524E-5
0.028	-0.00434181042748355	1.05195215805039E-5
0.03	-0.00461194186378815	8.51974739628271E-7
0.032	-0.00470030589829544	-1.47482058746787E-5
0.034	-0.00467812368845628	-3.52653472552012E-5
0.036	-0.00464850682357619	-5.82510632136273E-5
0.038	-0.00471081009201507	-7.99479240249097E-5
0.04	-0.0049247367942008	-9.57601140156552E-5
0.042	-0.005287023321769	-0.000101152292039262
0.044	-0.00572891443447576	-9.28894821976589E-5
0.046	-0.00613508484004809	-7.02862999531151E-5
0.048	-0.00637711380194009	-3.60057250053984E-5
0.05	-0.0063501447068559	3.96228767773083E-6
0.052	-0.00600152487339152	4.12630940614895E-5
0.054	-0.00534414625220221	6.69232383448641E-5
0.056	-0.00445257454331804	7.34910322125787E-5
0.058	-0.00344490670961054	5.70133685546238E-5
0.06	-0.0024566096585558	1.82496780889848E-5
0.062	-0.0016137456955133	-3.72779397480636E-5
0.064	-0.00101173459785243	-0.000100396624448341
0.066	-0.000702847720929737	-0.000160172646758002
0.068	-0.000692528487368494	-0.000206040907147833
0.07	-0.000942695883586043	-0.000229725000697456
0.072	-0.0013797194926991	-0.000226686643646716
0.074	-0.00190529767219455	-0.000196970542234314
0.076	-0.00240939977526218	-0.000145341750042132
0.078	-0.00278520183755034	-8.06374620389714E-5
0.08	-0.00294593128740328	-1.43594370408485E-5
0.082	-0.00284222090453411	4.12947355858364E-5
0.084	-0.0024763403659434	7.56013566403481E-5
0.086	-0.00190803117228284	8.12430591063792E-5
0.088	-0.00124723018365126	5.56060879126825E-5
0.09	-0.000632371028748721	1.19973582262248E-6
0.092	-0.000198372059143093	-7.4818951069136E-5
0.094	-4.33905381072682E-5	-0.000161835458909433
0.096	-0.000204909043604683	-0.000247436759990759
0.098	-0.000652528586804345	-0.000319332863780712
0.1	-0.00129872537530775	-0.000367342828150865
0.102	-0.00202288261555988	-0.000385155414094793
0.104	-0.00270052054479665	-0.000371482970232388
0.106	-0.00322969984978036	-0.000330278775789212
0.108	-0.00354940868149864	-0.000269906721317748
0.11	-0.00364841316541401	-0.000201419940087779
0.112	-0.00356525065380877	-0.000136299130649793
0.114	-0.00337995870732746	-8.41060243323654E-5
0.116	-0.00319749845502258	-5.05484394024878E-5
0.118	-0.00312392957401558	-3.64158938117595E-5
0.12	-0.00323906709527596	-3.77011334327291E-5
0.122	-0.00357157280879383	-4.69586742248373E-5
0.124	-0.00408320436741637	-5.559265350936E-5
0.126	-0.00466852757207807	-5.64377092289666E-5
0.128	-0.0051743032625285	-4.58718454690234E-5
0.13	-0.00543768259144602	-2.48543530291866E-5
0.132	-0.00533461391127718	1.36235745816956E-6
0.134	-0.0048230800622238	2.46945873356948E-5
0.136	-0.00396486527278152	3.63977574969564E-5
0.138	-0.00291644717733434	2.93387968003731E-5
0.14	-0.00189117103225053	-1.86135748150026E-7
0.142	-0.00110519097226463	-5.14441389918921E-5
0.144	-0.000724249821047984	-0.000119183086244075
0.146	-0.000826262712238898	-0.000194431270730164
0.148	-0.00138797331581373	-0.000266062311150742
0.15	-0.00229604374446561	-0.00032289794568139
0.152	-0.00337659772174963	-0.000355928044719252
0.154	-0.00443371175718712	-0.000360082218116412
0.156	-0.0052868787951516	-0.000335049772388328
0.158	-0.00579986550580751	-0.00028493210461083
0.16	-0.00589751779844719	-0.00021691238965175
0.162	-0.00557084241566361	-0.000139475334242446
0.164	-0.00487269194120727	-6.08246380712637E-5
0.166	-0.00390680324658583	1.20554675252417E-5
0.168	-0.00281243460363801	7.36385379454143E-5
0.17	-0.00174582187121659	0.000119674765441725
0.172	-0.000859000465619525	0.000146995647703452
0.174	-0.000277265436743495	0.000153601640615435
0.176	-7.84061736792702E-5	0.000139060219578773
0.178	-0.000278225482589387	0.000104964970573093
0.18	-0.00082648358854673	5.51030885690313E-5
0.182	-0.00161540509590084	-4.89394463149784E-6
0.184	-0.0024998946608445	-6.83995186459003E-5
0.186	-0.00332515112274672	-0.000128923565322184
0.188	-0.00395459574060911	-0.000181213045659288
0.19	-0.00429091270077395	-0.000221997269570203
0.192	-0.00428639742278456	-0.000250136132921633
0.194	-0.0039436982578242	-0.000266134001177269
0.196	-0.00331105380884981	-0.000271243648889163
0.198	-0.0024757839556096	-0.000266549176080947
0.2	-0.0015572728410272	-0.00025240620482016
0.202	-0.000698010774264054	-0.000228473099634011
0.204	-4.9876656427685E-5	-0.000194344476454059
0.206	0.000246415573377981	-0.000150548115022632
0.208	8.77031616480994E-5	-9.94842496385593E-5
0.21	-0.000564723592345652	-4.58733438828046E-5
0.212	-0.00166610726323655	3.55006783459001E-6
0.214	-0.00308508382039034	4.10876544426099E-5
0.216	-0.00462013208732955	5.96062017981116E-5
0.218	-0.00603302844016249	5.4128866743162E-5
0.22	-0.007091451802183	2.30607015301604E-5
0.222	-0.00761126500975461	-3.12681329429888E-5
0.224	-0.00749125317820444	-0.000102871336007203
0.226	-0.00673650743886041	-0.000183114844992202
0.228	-0.00546790564385473	-0.000262226003989929
0.23	-0.00391394281807762	-0.000330970565519806
0.232	-0.00238086481712348	-0.00038215396183552
0.234	-0.00120095970885748	-0.000411667783434551
0.236	-0.000666311179621022	-0.000418918309918032
0.238	-0.000962425526944536	-0.000406610865214724
0.24	-0.00211927017114769	-0.000379993442123828
0.242	-0.00399475569618976	-0.000345761425697054
0.244	-0.0062977076307204	-0.000310867663732225
0.246	-0.00864601226116647	-0.000281451693554933
0.248	-0.0106450195719179	-0.000262012136022489
0.25	-0.0119658450996177	-0.000254844443220183
0.252	-0.012404845606029	-0.000259716565796347
0.254	-0.011912722447517	-0.00027380446263142
0.256	-0.0105909389507696	-0.000292015924079645
0.258	-0.00866101109849183	-0.000307851409120828
0.26	-0.00641665464914577	-0.000314785568887598
0.262	-0.00416955226942902	-0.000307886128171837
0.264	-0.00219812794747271	-0.00028520626255536
0.266	-0.000706914092245797	-0.00024850778997583
0.268	0.000197753190917151	-0.000203073019937104
0.27	0.000512792811144809	-0.000156640464441887
0.272	0.000325494776676013	-0.000117745743063005
0.274	-0.000211963900864724	-9.38916695689148E-5
0.276	-0.000914005544069038	-8.99856977985101E-5
0.278	-0.00159447788896571	-0.000107384499344818
0.28	-0.00209833690045281	-0.000143716306261198
0.282	-0.00232925813612298	-0.000193462962367233
0.284	-0.0022680187174327	-0.000249119280010858
0.286	-0.00197578024441715	-0.000302628375401637
0.288	-0.00157902939190259	-0.000346725333053242
0.29	-0.00123784622051975	-0.000375848330025167
0.292	-0.00110417349818356	-0.000386461866754247
0.294	-0.00128017975220953	-0.00037693325709162
0.296	-0.00178765124813527	-0.000347291182679684
0.298	-0.00255720771633396	-0.00029910864173489
0.3	-0.00344146310779904	-0.000235500409237211
0.302	-0.0042500932513972	-0.000161049557337192
0.304	-0.00479836431730768	-8.14930095601957E-5
0.306	-0.00495581067404382	-3.15061920856883E-6
0.308	-0.00468068824658299	6.77549104768269E-5
0.31	-0.00402990321223038	0.000125702272735942
0.312	-0.00314242105123951	0.000166327404756509
0.314	-0.00220329814582556	0.000186786496342758
0.316	-0.00140091343135842	0.00018607509395547
0.318	-0.000889355132263954	0.000165231713514123
0.32	-0.000763182000786398	0.000127286798777195
0.322	-0.00104671721613557	7.69008638362456E-5
0.324	-0.00169647208226263	1.97782925114249E-5
0.326	-0.00261309302884759	-3.80027806500635E-5
0.328	-0.00365853037461504	-9.06515805833574E-5
0.33	-0.0046754898328209	-0.000133263947422588
0.332	-0.00550873543786631	-0.000162287586579141
0.334	-0.00602881079688398	-0.000175771787486893
0.336	-0.00615649894490827	-0.000173381990642363
0.338	-0.00588249598684268	-0.000156239837115563
0.34	-0.00527496550653928	-0.000126669592228477
0.342	-0.00446981957107931	-8.79147562866542E-5
0.344	-0.0036436303639633	-4.38865717542223E-5
0.346	-0.00297462756741442	1.01674647603768E-6
0.348	-0.00260145629603449	4.20722294823463E-5
0.35	-0.0025909588588738	7.45287921112675E-5
0.352	-0.0029240198214836	9.41772826729191E-5
0.354	-0.00350265409993907	9.81493118994816E-5
0.356	-0.00417488101833291	8.56621173962469E-5
0.358	-0.00477012471370318	5.83450599548856E-5
0.36	-0.00513758466581987	1.99433570140517E-5
0.362	-0.00518087080205483	-2.45285300958989E-5
0.364	-0.00488243819793148	-6.99003643405531E-5
0.366	-0.00431174551448393	-0.00011188375042621
0.368	-0.00361321131412091	-0.000147765053616458
0.37	-0.00297441461107809	-0.000176627903803498
0.372	-0.00258060024713799	-0.000199128181605899
0.374	-0.00256658671989464	-0.000216954538989705
0.376	-0.00297955068748663	-0.000232159681378785
0.378	-0.00376418283223267	-0.000246543023946855
0.38	-0.00477515365167196	-0.000261218661829504
0.382	-0.00581292581668603	-0.000276432683198231
0.384	-0.00667170275713256	-0.00029161409779561
0.386	-0.00718581959449861	-0.00030556990814937
0.388	-0.00726319205497628	-0.000316709178101374
0.39	-0.00689929424933601	-0.000323243769869904
0.392	-0.00617052539131587	-0.000323419601865789
0.394	-0.00521079020100995	-0.000315861918113826
0.396	-0.00417869480751402	-0.000300016396944536
0.398	-0.00322386986787271	-0.000276519589116495
0.4	-0.00245965970553856	-0.000247281754746993
0.402	-0.00194710844182068	-0.000215185642415771
0.404	-0.00169268429170623	-0.000183513971211134
0.406	-0.00165907134322056	-0.000155337218839115
0.408	-0.00178456309249621	-0.00013303410994384
0.41	-0.00200377387550495	-0.000117982607804809
0.412	-0.00226255385257211	-0.000110407253640113
0.414	-0.00252339198831041	-0.000109415373933545
0.416	-0.0027623970553451	-0.000113278147917989
0.418	-0.00296257438224186	-0.000119936441364626
0.42	-0.00310882049198449	-0.000127595534369085
0.422	-0.0031878914070362	-0.000135218869676328
0.424	-0.00319308637178316	-0.000142773348389775
0.426	-0.00313033883203076	-0.000151175303769402
0.428	-0.00302109410950919	-0.000161972597170958
0.43	-0.00289836099468882	-0.000176847037038699
0.432	-0.00279550256170759	-0.000197049733005603
0.434	-0.00273158921510048	-0.000222903842556493
0.436	-0.00270037650012588	-0.000253505231451068
0.438	-0.00266988856188986	-0.000286691963448579
0.44	-0.002595395189949	-0.000319245953411265
0.442	-0.00244205684440531	-0.000347217086505588
0.444	-0.00220812688033686	-0.000366312425227053
0.446	-0.00193819090712572	-0.000372413930217313
0.448	-0.00171908689998206	-0.000362294432692262
0.45	-0.00165758468388367	-0.000334436652646636
0.452	-0.00184645908018496	-0.000289688053283488
0.454	-0.00233121953551545	-0.000231478408533
0.456	-0.00309024415102406	-0.000165487770382934
0.458	-0.00403574822102335	-9.88517767768948E-5
0.46	-0.00503481464495139	-3.91019406796473E-5
0.462	-0.0059426396492322	6.97042237209044E-6
0.464	-0.0066368073209548	3.43842751913982E-5
0.466	-0.00704247136490227	4.08167443205343E-5
0.468	-0.00714264600105059	2.70204172077019E-5
0.47	-0.00697302520599726	-3.36737666625405E-6
0.472	-0.00660492750957216	-4.46318261365411E-5
0.474	-0.00612253537055552	-9.01861414583761E-5
0.476	-0.00560132225365707	-0.00013379402314969
0.478	-0.00509297285040904	-0.000170424075178317
0.48	-0.00461894862137701	-0.000196551603963874
0.482	-0.0041724031615546	-0.000210035312119818
0.484	-0.00372768274414976	-0.0002098901168676
0.486	-0.00325665478306794	-0.000196212608590378
