Evoked Response
seconds	EEG
0	-4.60864
0.0019531	-4.60832
0.0039063	-4.6096
0.0058594	-4.60896
0.0078125	-4.60704
0.0097656	-4.6048
0.011719	-4.60704
0.013672	-4.60736
0.015625	-4.60736
0.017578	-4.60736
0.019531	-4.61088
0.021484	-4.61248
0.023438	-4.61312
0.025391	-4.60992
0.027344	-4.61152
0.029297	-4.61088
0.03125	-4.60448
0.033203	-4.60608
0.035156	-4.60256
0.037109	-4.6112
0.039063	-4.60896
0.041016	-4.61312
0.042969	-4.6176
0.044922	-4.61216
0.046875	-4.6096
0.048828	-4.61184
0.050781	-4.60512
0.052734	-4.608
0.054688	-4.60768
0.056641	-4.60928
0.058594	-4.60352
0.060547	-4.61152
0.0625	-4.60768
0.064453	-4.60768
0.066406	-4.61184
0.068359	-4.61056
0.070313	-4.60896
0.072266	-4.60544
0.074219	-4.60384
0.076172	-4.60672
0.078125	-4.60736
0.080078	-4.61376
0.082031	-4.61088
0.083984	-4.61152
0.085938	-4.60864
0.087891	-4.60768
0.089844	-4.60736
0.091797	-4.60672
0.09375	-4.608
0.095703	-4.60544
0.097656	-4.61024
0.099609	-4.61344
0.10156	-4.6128
0.10352	-4.61088
0.10547	-4.61344
0.10742	-4.60992
0.10938	-4.60928
0.11133	-4.60448
0.11328	-4.60768
0.11523	-4.60896
0.11719	-4.6096
0.11914	-4.60896
0.12109	-4.60832
0.12305	-4.608
0.125	-4.60896
0.12695	-4.60704
0.12891	-4.61056
0.13086	-4.60576
0.13281	-4.61152
0.13477	-4.61152
0.13672	-4.61056
0.13867	-4.6096
0.14063	-4.6096
0.14258	-4.61056
0.14453	-4.6144
0.14648	-4.61248
0.14844	-4.61088
0.15039	-4.61408
0.15234	-4.61472
0.1543	-4.61216
0.15625	-4.60992
0.1582	-4.61376
0.16016	-4.61632
0.16211	-4.6144
0.16406	-4.61632
0.16602	-4.62016
0.16797	-4.61472
0.16992	-4.61312
0.17188	-4.6144
0.17383	-4.6112
0.17578	-4.6112
0.17773	-4.6112
0.17969	-4.61184
0.18164	-4.61024
0.18359	-4.61312
0.18555	-4.61312
0.1875	-4.61056
0.18945	-4.6048
0.19141	-4.60768
0.19336	-4.60704
0.19531	-4.60736
0.19727	-4.60704
0.19922	-4.60736
0.20117	-4.60992
0.20313	-4.6096
0.20508	-4.60768
0.20703	-4.60832
0.20898	-4.60832
0.21094	-4.60544
0.21289	-4.60288
0.21484	-4.60608
0.2168	-4.60736
0.21875	-4.60704
0.2207	-4.61024
0.22266	-4.60864
0.22461	-4.61344
0.22656	-4.61344
0.22852	-4.6128
0.23047	-4.60928
0.23242	-4.60896
0.23438	-4.60704
0.23633	-4.60672
0.23828	-4.61056
0.24023	-4.6144
0.24219	-4.61344
0.24414	-4.61248
0.24609	-4.60928
0.24805	-4.6096
0.25	-4.60768
0.25195	-4.60672
0.25391	-4.608
0.25586	-4.61024
0.25781	-4.60416
0.25977	-4.6064
0.26172	-4.60992
0.26367	-4.60768
0.26563	-4.60768
0.26758	-4.60608
0.26953	-4.60224
0.27148	-4.60224
0.27344	-4.6064
0.27539	-4.60288
0.27734	-4.60128
0.2793	-4.60384
0.28125	-4.60512
0.2832	-4.6048
0.28516	-4.60672
0.28711	-4.60256
0.28906	-4.60448
0.29102	-4.60448
0.29297	-4.6
0.29492	-4.6048
0.29688	-4.60672
0.29883	-4.60896
0.30078	-4.61056
0.30273	-4.60768
0.30469	-4.60736
0.30664	-4.60736
0.30859	-4.6112
0.31055	-4.60992
0.3125	-4.6112
0.31445	-4.6096
0.31641	-4.6112
0.31836	-4.61024
0.32031	-4.60896
0.32227	-4.60384
0.32422	-4.6096
0.32617	-4.61408
0.32813	-4.61088
0.33008	-4.61184
0.33203	-4.61024
0.33398	-4.60896
0.33594	-4.60928
0.33789	-4.60992
0.33984	-4.6128
0.3418	-4.60896
0.34375	-4.61024
0.3457	-4.60896
0.34766	-4.60736
0.34961	-4.60576
0.35156	-4.60448
0.35352	-4.60128
0.35547	-4.60448
0.35742	-4.6064
0.35938	-4.6064
0.36133	-4.608
0.36328	-4.60512
0.36523	-4.60768
0.36719	-4.61056
0.36914	-4.60352
0.37109	-4.6048
0.37305	-4.60384
0.375	-4.60416
0.37695	-4.60352
0.37891	-4.60512
0.38086	-4.60672
0.38281	-4.60832
0.38477	-4.60544
0.38672	-4.608
0.38867	-4.60544
0.39063	-4.60576
0.39258	-4.60352
0.39453	-4.60128
0.39648	-4.6016
0.39844	-4.60608
0.40039	-4.60512
0.40234	-4.60544
0.4043	-4.6112
0.40625	-4.6112
0.4082	-4.60672
0.41016	-4.6032
0.41211	-4.60672
0.41406	-4.60672
0.41602	-4.60928
0.41797	-4.60608
0.41992	-4.60832
0.42188	-4.61376
0.42383	-4.60864
0.42578	-4.61248
0.42773	-4.61312
0.42969	-4.60928
0.43164	-4.60704
0.43359	-4.60512
0.43555	-4.6032
0.4375	-4.60512
0.43945	-4.60544
0.44141	-4.6032
0.44336	-4.60352
0.44531	-4.60416
0.44727	-4.60192
0.44922	-4.6016
0.45117	-4.60512
0.45313	-4.60096
0.45508	-4.60096
0.45703	-4.60256
0.45898	-4.60384
0.46094	-4.60736
0.46289	-4.60928
0.46484	-4.60864
0.4668	-4.60608
0.46875	-4.6048
0.4707	-4.60256
0.47266	-4.60352
0.47461	-4.60384
0.47656	-4.60128
0.47852	-4.59904
0.48047	-4.60736
0.48242	-4.60352
0.48438	-4.60192
0.48633	-4.6032
0.48828	-4.6016
0.49023	-4.59648
0.49219	-4.5936
0.49414	-4.59648
0.49609	-4.59936
0.49805	-4.59936
0.5	-4.59808
0.50195	-4.59776
0.50391	-4.59904
0.50586	-4.59872
0.50781	-4.59872
0.50977	-4.5968
0.51172	-4.59936
0.51367	-4.59712
0.51563	-4.60032
0.51758	-4.59872
0.51953	-4.6
0.52148	-4.6048
0.52344	-4.59904
0.52539	-4.6032
0.52734	-4.6032
0.5293	-4.59904
0.53125	-4.59904
0.5332	-4.5968
0.53516	-4.59456
0.53711	-4.59648
0.53906	-4.59968
0.54102	-4.60416
0.54297	-4.6048
0.54492	-4.60288
0.54688	-4.60192
0.54883	-4.59456
0.55078	-4.60544
0.55273	-4.6032
0.55469	-4.60256
0.55664	-4.60352
0.55859	-4.60064
0.56055	-4.60256
0.5625	-4.60064
0.56445	-4.6032
0.56641	-4.60224
0.56836	-4.6016
0.57031	-4.60288
0.57227	-4.60128
0.57422	-4.60064
0.57617	-4.60032
0.57813	-4.6048
0.58008	-4.60736
0.58203	-4.60512
0.58398	-4.6048
0.58594	-4.60384
0.58789	-4.60768
0.58984	-4.6064
0.5918	-4.6048
0.59375	-4.60608
0.5957	-4.60448
0.59766	-4.60448
0.59961	-4.6096
0.60156	-4.60416
0.60352	-4.6064
0.60547	-4.6064
0.60742	-4.60576
0.60938	-4.6064
0.61133	-4.60768
0.61328	-4.6064
0.61523	-4.60608
0.61719	-4.60768
0.61914	-4.6096
0.62109	-4.61024
0.62305	-4.61152
0.625	-4.60704
0.62695	-4.6032
0.62891	-4.6096
0.63086	-4.608
0.63281	-4.60448
0.63477	-4.60928
0.63672	-4.60928
0.63867	-4.60992
0.64063	-4.60544
0.64258	-4.61504
0.64453	-4.61312
0.64648	-4.60544
0.64844	-4.61504
0.65039	-4.6112
0.65234	-4.6128
0.6543	-4.60896
0.65625	-4.61088
0.6582	-4.61056
0.66016	-4.61056
0.66211	-4.61056
0.66406	-4.61408
0.66602	-4.61664
0.66797	-4.61664
0.66992	-4.60512
0.67188	-4.6064
0.67383	-4.61024
0.67578	-4.60928
