20/07/2011
3:48 AM

channelA, SE 0, G=1, y=v1;
channelB, SE 1, G=1, y=v2;
channelC, SE 2, G=1, y=v3;
channelD, SE 3, G=1, y=v1;


Time	V1	V2	V3	V4	channelA	channelB	channelC	channelD	IO
0.0000	3.779297	1.425781	1.435547	1.425781	3.779297	1.425781	1.435547	3.779297	0
0.0033	3.779297	1.425781	1.425781	1.430664	3.779297	1.425781	1.425781	3.779297	0
0.0067	3.784180	1.430664	1.435547	1.430664	3.784180	1.430664	1.435547	3.784180	0
0.0100	3.789062	1.425781	1.435547	1.430664	3.789062	1.425781	1.435547	3.789062	0
0.0133	3.789062	1.425781	1.435547	1.430664	3.789062	1.425781	1.435547	3.789062	0
0.0167	3.784180	1.420898	1.435547	1.430664	3.784180	1.420898	1.435547	3.784180	0
0.0200	3.793945	1.425781	1.435547	1.430664	3.793945	1.425781	1.435547	3.793945	0
0.0233	3.789062	1.425781	1.435547	1.425781	3.789062	1.425781	1.435547	3.789062	0
0.0267	3.803711	1.425781	1.420898	1.430664	3.803711	1.425781	1.420898	3.803711	0
0.0300	3.798828	1.430664	1.435547	1.425781	3.798828	1.430664	1.435547	3.798828	0
0.0333	3.793945	1.420898	1.440430	1.430664	3.793945	1.420898	1.440430	3.793945	0
0.0367	3.798828	1.430664	1.435547	1.425781	3.798828	1.430664	1.435547	3.798828	0
0.0400	3.798828	1.430664	1.435547	1.425781	3.798828	1.430664	1.435547	3.798828	0
0.0433	3.793945	1.416016	1.435547	1.425781	3.793945	1.416016	1.435547	3.793945	0
0.0467	3.798828	1.425781	1.440430	1.430664	3.798828	1.425781	1.440430	3.798828	0
0.0500	3.798828	1.416016	1.430664	1.430664	3.798828	1.416016	1.430664	3.798828	0
0.0533	3.798828	1.420898	1.430664	1.420898	3.798828	1.420898	1.430664	3.798828	0
0.0567	3.798828	1.430664	1.435547	1.425781	3.798828	1.430664	1.435547	3.798828	0
0.0600	3.789062	1.425781	1.435547	1.425781	3.789062	1.425781	1.435547	3.789062	0
0.0633	3.789062	1.416016	1.430664	1.430664	3.789062	1.416016	1.430664	3.789062	0
0.0667	3.784180	1.425781	1.430664	1.425781	3.784180	1.425781	1.430664	3.784180	0
0.0700	3.789062	1.420898	1.435547	1.435547	3.789062	1.420898	1.435547	3.789062	0
0.0733	3.784180	1.425781	1.435547	1.430664	3.784180	1.425781	1.435547	3.784180	0
0.0767	3.784180	1.420898	1.435547	1.430664	3.784180	1.420898	1.435547	3.784180	0
0.0800	3.774414	1.425781	1.435547	1.430664	3.774414	1.425781	1.435547	3.774414	0
0.0833	3.779297	1.420898	1.430664	1.425781	3.779297	1.420898	1.430664	3.779297	0
0.0867	3.774414	1.425781	1.435547	1.430664	3.774414	1.425781	1.435547	3.774414	0
0.0900	3.774414	1.430664	1.435547	1.425781	3.774414	1.430664	1.435547	3.774414	0
0.0933	3.764648	1.420898	1.435547	1.420898	3.764648	1.420898	1.435547	3.764648	0
0.0967	3.764648	1.430664	1.435547	1.435547	3.764648	1.430664	1.435547	3.764648	0
0.1000	3.759766	1.420898	1.435547	1.430664	3.759766	1.420898	1.435547	3.759766	0
