20/07/2011
4:05 AM

channelA, SE 0, G=1, y=v1;
channelB, SE 1, G=1, y=v2;
channelC, SE 2, G=1, y=v3;
channelD, SE 3, G=1, y=v1;


Time	V1	V2	V3	V4	channelA	channelB	channelC	channelD	IO
0.0000	3.696289	1.425781	1.440430	1.430664	3.696289	1.425781	1.440430	3.696289	0
0.0033	3.701172	1.420898	1.435547	1.430664	3.701172	1.420898	1.435547	3.701172	0
0.0067	3.696289	1.425781	1.435547	1.430664	3.696289	1.425781	1.435547	3.696289	0
0.0100	3.701172	1.425781	1.435547	1.430664	3.701172	1.425781	1.435547	3.701172	0
0.0133	3.706055	1.430664	1.430664	1.430664	3.706055	1.430664	1.430664	3.706055	0
0.0167	3.701172	1.420898	1.435547	1.430664	3.701172	1.420898	1.435547	3.701172	0
0.0200	3.701172	1.420898	1.425781	1.425781	3.701172	1.420898	1.425781	3.701172	0
0.0233	3.710937	1.425781	1.435547	1.430664	3.710937	1.425781	1.435547	3.710937	0
0.0267	3.706055	1.420898	1.435547	1.425781	3.706055	1.420898	1.435547	3.706055	0
0.0300	3.710937	1.420898	1.435547	1.430664	3.710937	1.420898	1.435547	3.710937	0
0.0333	3.710937	1.425781	1.430664	1.430664	3.710937	1.425781	1.430664	3.710937	0
0.0367	3.710937	1.420898	1.430664	1.430664	3.710937	1.420898	1.430664	3.710937	0
0.0400	3.720703	1.425781	1.435547	1.430664	3.720703	1.425781	1.435547	3.720703	0
0.0433	3.710937	1.420898	1.435547	1.430664	3.710937	1.420898	1.435547	3.710937	0
0.0467	3.720703	1.420898	1.435547	1.425781	3.720703	1.420898	1.435547	3.720703	0
0.0500	3.720703	1.420898	1.440430	1.425781	3.720703	1.420898	1.440430	3.720703	0
0.0533	3.730469	1.420898	1.435547	1.425781	3.730469	1.420898	1.435547	3.730469	0
0.0567	3.725586	1.420898	1.435547	1.425781	3.725586	1.420898	1.435547	3.725586	0
0.0600	3.730469	1.425781	1.435547	1.425781	3.730469	1.425781	1.435547	3.730469	0
0.0633	3.730469	1.420898	1.440430	1.425781	3.730469	1.420898	1.440430	3.730469	0
0.0667	3.730469	1.420898	1.435547	1.430664	3.730469	1.420898	1.435547	3.730469	0
0.0700	3.740234	1.420898	1.430664	1.425781	3.740234	1.420898	1.430664	3.740234	0
0.0733	3.740234	1.425781	1.435547	1.430664	3.740234	1.425781	1.435547	3.740234	0
0.0767	3.730469	1.425781	1.435547	1.430664	3.730469	1.425781	1.435547	3.730469	0
0.0800	3.735352	1.420898	1.435547	1.425781	3.735352	1.420898	1.435547	3.735352	0
0.0833	3.735352	1.420898	1.435547	1.435547	3.735352	1.420898	1.435547	3.735352	0
0.0867	3.735352	1.420898	1.435547	1.425781	3.735352	1.420898	1.435547	3.735352	0
0.0900	3.730469	1.425781	1.430664	1.430664	3.730469	1.425781	1.430664	3.730469	0
0.0933	3.735352	1.420898	1.440430	1.430664	3.735352	1.420898	1.440430	3.735352	0
0.0967	3.730469	1.430664	1.440430	1.435547	3.730469	1.430664	1.440430	3.730469	0
0.1000	3.730469	1.411133	1.430664	1.430664	3.730469	1.411133	1.430664	3.730469	0
0.1033	3.730469	1.420898	1.435547	1.430664	3.730469	1.420898	1.435547	3.730469	0
0.1067	3.730469	1.420898	1.435547	1.425781	3.730469	1.420898	1.435547	3.730469	0
0.1100	3.725586	1.425781	1.435547	1.425781	3.725586	1.425781	1.435547	3.725586	0
0.1133	3.725586	1.425781	1.440430	1.425781	3.725586	1.425781	1.440430	3.725586	0
0.1167	3.720703	1.425781	1.435547	1.425781	3.720703	1.425781	1.435547	3.720703	0
0.1200	3.715820	1.425781	1.435547	1.430664	3.715820	1.425781	1.435547	3.715820	0
0.1233	3.720703	1.425781	1.435547	1.430664	3.720703	1.425781	1.435547	3.720703	0
0.1267	3.720703	1.425781	1.430664	1.420898	3.720703	1.425781	1.430664	3.720703	0
0.1300	3.710937	1.420898	1.440430	1.425781	3.710937	1.420898	1.440430	3.710937	0
0.1333	3.715820	1.430664	1.435547	1.425781	3.715820	1.430664	1.435547	3.715820	0
0.1367	3.715820	1.425781	1.435547	1.425781	3.715820	1.425781	1.435547	3.715820	0
0.1400	3.710937	1.420898	1.430664	1.425781	3.710937	1.420898	1.430664	3.710937	0
0.1433	3.710937	1.425781	1.430664	1.430664	3.710937	1.425781	1.430664	3.710937	0
0.1467	3.710937	1.420898	1.435547	1.430664	3.710937	1.420898	1.435547	3.710937	0
0.1500	3.715820	1.416016	1.435547	1.425781	3.715820	1.416016	1.435547	3.715820	0
0.1533	3.706055	1.420898	1.435547	1.435547	3.706055	1.420898	1.435547	3.706055	0
0.1567	3.701172	1.425781	1.430664	1.425781	3.701172	1.425781	1.430664	3.701172	0
0.1600	3.701172	1.420898	1.440430	1.430664	3.701172	1.420898	1.440430	3.701172	0
0.1633	3.696289	1.425781	1.435547	1.430664	3.696289	1.425781	1.435547	3.696289	0
0.1667	3.706055	1.425781	1.435547	1.435547	3.706055	1.425781	1.435547	3.706055	0
